MTA Mode,Line/Branch,RGB Hex,Pantone CVC,CMYK
NYCT Subway,A/C/E,0039A6,PMS 286,c100;m56
NYCT Subway,B/D/F/M,FF6319,PMS 165,m60;y100
NYCT Subway,G,6CBE45,PMS 376,c56;y100
NYCT Subway,J/Z,996633,PMS 154,m43;y100;k34
NYCT Subway,L,A7A9AC,50% black,50k
NYCT Subway,N/Q/R/W,FCCC0A,PMS 116,m15;y94
NYCT Subway,S,808183,70% black,70k
NYCT Subway,1 2 3,EE352E,PMS 185,m91;y76
NYCT Subway,4 5 6,00933C,PMS 355,c100;y91;6k
NYCT Subway,7,B933AD,PMS Purple,c43;m91
NYCT Subway,SIR,006CB7,,
